Name,Platforms,Country,Language,Handle,Contact_Value,Source_Link,Est_Conversion_Rate,Category,Tier,Notes
Zone Anjali,YouTube/Instagram,India,Hindi,@zoneanjali_gaming925,Low ($261),https://platform.com/zoneanjali_gaming925,5.13%,Gaming,Micro,Mock Data - Ready for Outreach
DavidTech,YouTube/Instagram,USA,English,@davidtech_tech447,Medium ($4k),https://platform.com/davidtech_tech447,3.33%,Tech,Mid,Mock Data - Ready for Outreach
David Emma,Twitch,USA,English,@davidemma_tech653,Low ($492),https://platform.com/davidemma_tech653,4.86%,Tech,Micro,Mock Data - Ready for Outreach
Chris Tom,YouTube/Instagram,Germany,English,@christom_tech201,Low ($143),https://platform.com/christom_tech201,5.82%,Tech,Micro,Mock Data - Ready for Outreach
Chris TV,Twitter/X,USA,English,@christv_professional728,Low ($147),https://platform.com/christv_professional728,5.02%,Professional,Micro,Mock Data - Ready for Outreach
RahulTech,Twitter/X,India,Marathi,@rahultech_tech231,Low ($805),https://platform.com/rahultech_tech231,5.11%,Tech,Micro,Mock Data - Ready for Outreach
RohanGaming,YouTube/Instagram,India,Telugu,@rohangaming_gaming637,Low ($678),https://platform.com/rohangaming_gaming637,4.6%,Gaming,Micro,Mock Data - Ready for Outreach
Sarah Mike,Instagram,Australia,English,@sarahmike_gaming481,Low ($311),https://platform.com/sarahmike_gaming481,5.19%,Gaming,Micro,Mock Data - Ready for Outreach
GamingGaming,YouTube/Instagram,Australia,English,@gaminggaming_gaming829,Low ($295),https://platform.com/gaminggaming_gaming829,4.1%,Gaming,Micro,Mock Data - Ready for Outreach
Nisha Vikram,Twitter/X,India,Tamil,@nishavikram_tech826,Low ($457),https://platform.com/nishavikram_tech826,4.97%,Tech,Micro,Mock Data - Ready for Outreach
KaranTech,Twitter/X,India,Telugu,@karantech_tech687,Medium ($5k),https://platform.com/karantech_tech687,4.06%,Tech,Mid,Mock Data - Ready for Outreach
Anna Sarah,Instagram,Canada,English,@annasarah_gaming64,Low ($184),https://platform.com/annasarah_gaming64,4.64%,Gaming,Micro,Mock Data - Ready for Outreach
WorldGaming,YouTube,India,Hindi/English,@worldgaming_gaming47,Low ($487),https://platform.com/worldgaming_gaming47,4.21%,Gaming,Micro,Mock Data - Ready for Outreach
AlexGaming,YouTube/Instagram,Canada,English,@alexgaming_gaming891,Low ($135),https://platform.com/alexgaming_gaming891,4.59%,Gaming,Micro,Mock Data - Ready for Outreach
WorldTech,YouTube/Instagram,India,Tamil,@worldtech_tech988,Low ($786),https://platform.com/worldtech_tech988,4.63%,Tech,Micro,Mock Data - Ready for Outreach
Chris Sarah,YouTube/Instagram,Australia,English,@chrissarah_tech835,Low ($600),https://platform.com/chrissarah_tech835,4.69%,Tech,Micro,Mock Data - Ready for Outreach
WorldGaming,Twitch,India,English,@worldgaming_gaming975,Medium ($5k),https://platform.com/worldgaming_gaming975,3.18%,Gaming,Mid,Mock Data - Ready for Outreach
Ryan Alex,Twitter/X,UK,English,@ryanalex_tech453,Low ($253),https://platform.com/ryanalex_tech453,4.54%,Tech,Micro,Mock Data - Ready for Outreach
Anna Tom,Twitter/X,Germany,English,@annatom_gaming2,Low ($436),https://platform.com/annatom_gaming2,4.86%,Gaming,Micro,Mock Data - Ready for Outreach
ZoneTech,YouTube,India,Hindi/English,@zonetech_tech685,Low ($809),https://platform.com/zonetech_tech685,4.6%,Tech,Micro,Mock Data - Ready for Outreach
AnjaliGaming,YouTube,India,Hindi,@anjaligaming_gaming578,Low ($405),https://platform.com/anjaligaming_gaming578,4.34%,Gaming,Micro,Mock Data - Ready for Outreach
Nisha Rahul,Twitter/X,India,Telugu,@nisharahul_professional162,Low ($580),https://platform.com/nisharahul_professional162,5.24%,Professional,Micro,Mock Data - Ready for Outreach
TechTech,Twitter/X,Germany,English,@techtech_tech234,Medium ($1k),https://platform.com/techtech_tech234,3.17%,Tech,Mid,Mock Data - Ready for Outreach
Karan Priya,Twitter/X,India,English,@karanpriya_tech985,Medium ($1k),https://platform.com/karanpriya_tech985,3.57%,Tech,Mid,Mock Data - Ready for Outreach
Rohan Sneha,YouTube/Instagram,India,Telugu,@rohansneha_tech856,Low ($822),https://platform.com/rohansneha_tech856,5.27%,Tech,Micro,Mock Data - Ready for Outreach
ZoneGaming,YouTube,India,Telugu,@zonegaming_gaming109,Low ($737),https://platform.com/zonegaming_gaming109,4.76%,Gaming,Micro,Mock Data - Ready for Outreach
SnehaTech,YouTube,India,English,@snehatech_tech358,Low ($566),https://platform.com/snehatech_tech358,4.57%,Tech,Micro,Mock Data - Ready for Outreach
RyanProfessional,YouTube,USA,English,@ryanprofessional_professional103,Low ($512),https://platform.com/ryanprofessional_professional103,4.57%,Professional,Micro,Mock Data - Ready for Outreach
Karan Arjun,YouTube/Instagram,India,Tamil,@karanarjun_gaming783,Medium ($2k),https://platform.com/karanarjun_gaming783,3.95%,Gaming,Mid,Mock Data - Ready for Outreach
PriyaTech,YouTube/Instagram,India,Hindi,@priyatech_tech833,Low ($198),https://platform.com/priyatech_tech833,5.08%,Tech,Micro,Mock Data - Ready for Outreach
Official Official,Instagram,India,Hindi,@officialofficial_tech604,Low ($553),https://platform.com/officialofficial_tech604,4.59%,Tech,Micro,Mock Data - Ready for Outreach
JessicaTech,Twitter/X,Germany,English,@jessicatech_tech67,Low ($493),https://platform.com/jessicatech_tech67,5.27%,Tech,Micro,Mock Data - Ready for Outreach
PriyaGaming,YouTube/Instagram,India,English,@priyagaming_gaming960,Low ($200),https://platform.com/priyagaming_gaming960,4.45%,Gaming,Micro,Mock Data - Ready for Outreach
OfficialGaming,Twitter/X,India,English,@officialgaming_gaming615,Low ($249),https://platform.com/officialgaming_gaming615,4.02%,Gaming,Micro,Mock Data - Ready for Outreach
Tom Mike,Twitter/X,Australia,English,@tommike_gaming887,Medium ($4k),https://platform.com/tommike_gaming887,2.82%,Gaming,Mid,Mock Data - Ready for Outreach
DavidTech,Twitch,Australia,English,@davidtech_tech531,Low ($395),https://platform.com/davidtech_tech531,5.11%,Tech,Micro,Mock Data - Ready for Outreach
MikeGaming,Twitter/X,USA,English,@mikegaming_gaming361,Low ($495),https://platform.com/mikegaming_gaming361,4.42%,Gaming,Micro,Mock Data - Ready for Outreach
TechTech,YouTube,India,English,@techtech_tech559,Low ($431),https://platform.com/techtech_tech559,4.97%,Tech,Micro,Mock Data - Ready for Outreach
PriyaTech,YouTube/Instagram,India,Hindi/English,@priyatech_tech757,Low ($711),https://platform.com/priyatech_tech757,4.66%,Tech,Micro,Mock Data - Ready for Outreach
Ryan Ryan,Twitch,UK,English,@ryanryan_tech536,Low ($269),https://platform.com/ryanryan_tech536,4.84%,Tech,Micro,Mock Data - Ready for Outreach
JessicaTech,YouTube/Instagram,Australia,English,@jessicatech_tech77,Low ($223),https://platform.com/jessicatech_tech77,4.6%,Tech,Micro,Mock Data - Ready for Outreach
Gamer Arjun,Instagram,India,Tamil,@gamerarjun_tech68,Medium ($2k),https://platform.com/gamerarjun_tech68,3.63%,Tech,Mid,Mock Data - Ready for Outreach
GamerGaming,YouTube,India,Marathi,@gamergaming_gaming593,Medium ($5k),https://platform.com/gamergaming_gaming593,3.37%,Gaming,Mid,Mock Data - Ready for Outreach
AnjaliTech,Twitch,India,Tamil,@anjalitech_tech587,Low ($234),https://platform.com/anjalitech_tech587,4.95%,Tech,Micro,Mock Data - Ready for Outreach
WorldGaming,Twitter/X,India,Marathi,@worldgaming_gaming733,Low ($205),https://platform.com/worldgaming_gaming733,4.65%,Gaming,Micro,Mock Data - Ready for Outreach
SarahTech,Twitter/X,USA,English,@sarahtech_tech798,Medium ($3k),https://platform.com/sarahtech_tech798,3.95%,Tech,Mid,Mock Data - Ready for Outreach
JessicaGaming,Instagram,USA,English,@jessicagaming_gaming115,Low ($160),https://platform.com/jessicagaming_gaming115,4.22%,Gaming,Micro,Mock Data - Ready for Outreach
Rahul Gamer,Twitch,India,Hindi/English,@rahulgamer_gaming985,Low ($269),https://platform.com/rahulgamer_gaming985,4.86%,Gaming,Micro,Mock Data - Ready for Outreach
RahulProfessional,YouTube/Instagram,India,English,@rahulprofessional_professional550,Low ($555),https://platform.com/rahulprofessional_professional550,5.03%,Professional,Micro,Mock Data - Ready for Outreach
Gamer Rahul,Twitter/X,India,Hindi/English,@gamerrahul_gaming733,Low ($119),https://platform.com/gamerrahul_gaming733,4.6%,Gaming,Micro,Mock Data - Ready for Outreach
TVTech,YouTube,USA,English,@tvtech_tech205,Low ($423),https://platform.com/tvtech_tech205,5.78%,Tech,Micro,Mock Data - Ready for Outreach
Chris Alex,Twitter/X,Canada,English,@chrisalex_gaming108,Low ($564),https://platform.com/chrisalex_gaming108,4.06%,Gaming,Micro,Mock Data - Ready for Outreach
Chris Mike,Twitter/X,UK,English,@chrismike_professional263,Low ($814),https://platform.com/chrismike_professional263,4.08%,Professional,Micro,Mock Data - Ready for Outreach
ZoneGaming,YouTube/Instagram,India,English,@zonegaming_gaming195,Low ($602),https://platform.com/zonegaming_gaming195,4.0%,Gaming,Micro,Mock Data - Ready for Outreach
Sneha World,Twitter/X,India,Hindi,@snehaworld_professional355,Low ($531),https://platform.com/snehaworld_professional355,4.94%,Professional,Micro,Mock Data - Ready for Outreach
KaranProfessional,YouTube,India,Hindi,@karanprofessional_professional204,Low ($591),https://platform.com/karanprofessional_professional204,5.01%,Professional,Micro,Mock Data - Ready for Outreach
GamerProfessional,Twitch,India,English,@gamerprofessional_professional444,Medium ($1k),https://platform.com/gamerprofessional_professional444,2.51%,Professional,Mid,Mock Data - Ready for Outreach
RohanTech,YouTube,India,Hindi,@rohantech_tech656,Low ($322),https://platform.com/rohantech_tech656,4.98%,Tech,Micro,Mock Data - Ready for Outreach
AnjaliTech,YouTube,India,English,@anjalitech_tech317,Low ($243),https://platform.com/anjalitech_tech317,4.97%,Tech,Micro,Mock Data - Ready for Outreach
World Tech,YouTube,India,Telugu,@worldtech_tech241,Low ($106),https://platform.com/worldtech_tech241,5.79%,Tech,Micro,Mock Data - Ready for Outreach
ArjunTech,YouTube,India,English,@arjuntech_tech602,Low ($676),https://platform.com/arjuntech_tech602,4.7%,Tech,Micro,Mock Data - Ready for Outreach
VikramGaming,YouTube,India,Marathi,@vikramgaming_gaming10,Low ($561),https://platform.com/vikramgaming_gaming10,5.21%,Gaming,Micro,Mock Data - Ready for Outreach
GamerProfessional,Instagram,India,Marathi,@gamerprofessional_professional442,Medium ($2k),https://platform.com/gamerprofessional_professional442,3.4%,Professional,Mid,Mock Data - Ready for Outreach
KaranTech,Instagram,India,Hindi,@karantech_tech2,Medium ($2k),https://platform.com/karantech_tech2,3.63%,Tech,Mid,Mock Data - Ready for Outreach
GamerTech,YouTube,India,Hindi/English,@gamertech_tech334,Low ($170),https://platform.com/gamertech_tech334,5.57%,Tech,Micro,Mock Data - Ready for Outreach
RahulGaming,Instagram,India,Telugu,@rahulgaming_gaming349,Low ($816),https://platform.com/rahulgaming_gaming349,4.48%,Gaming,Micro,Mock Data - Ready for Outreach
Gaming Anna,YouTube,Australia,English,@gaminganna_gaming366,Medium ($5k),https://platform.com/gaminganna_gaming366,3.22%,Gaming,Mid,Mock Data - Ready for Outreach
TVGaming,YouTube,Canada,English,@tvgaming_gaming930,Low ($210),https://platform.com/tvgaming_gaming930,4.06%,Gaming,Micro,Mock Data - Ready for Outreach
AlexGaming,YouTube,Canada,English,@alexgaming_gaming963,Low ($615),https://platform.com/alexgaming_gaming963,4.93%,Gaming,Micro,Mock Data - Ready for Outreach
TVTech,YouTube/Instagram,Germany,English,@tvtech_tech985,Low ($101),https://platform.com/tvtech_tech985,4.68%,Tech,Micro,Mock Data - Ready for Outreach
Official Zone,YouTube,India,Tamil,@officialzone_gaming93,Medium ($2k),https://platform.com/officialzone_gaming93,3.45%,Gaming,Mid,Mock Data - Ready for Outreach
Official Gamer,YouTube/Instagram,India,Hindi,@officialgamer_gaming413,Low ($707),https://platform.com/officialgamer_gaming413,5.19%,Gaming,Micro,Mock Data - Ready for Outreach
Sneha Priya,YouTube,India,Tamil,@snehapriya_tech640,Low ($679),https://platform.com/snehapriya_tech640,5.93%,Tech,Micro,Mock Data - Ready for Outreach
Emma Alex,Instagram,Germany,English,@emmaalex_tech492,Medium ($3k),https://platform.com/emmaalex_tech492,4.12%,Tech,Mid,Mock Data - Ready for Outreach
PriyaTech,Twitter/X,India,Hindi/English,@priyatech_tech185,Medium ($2k),https://platform.com/priyatech_tech185,4.49%,Tech,Mid,Mock Data - Ready for Outreach
JessicaTech,Instagram,UK,English,@jessicatech_tech476,Low ($749),https://platform.com/jessicatech_tech476,4.75%,Tech,Micro,Mock Data - Ready for Outreach
Alex Jessica,Twitch,UK,English,@alexjessica_gaming507,Medium ($5k),https://platform.com/alexjessica_gaming507,3.42%,Gaming,Mid,Mock Data - Ready for Outreach
Rahul Zone,Instagram,India,Hindi,@rahulzone_tech348,Low ($851),https://platform.com/rahulzone_tech348,5.37%,Tech,Micro,Mock Data - Ready for Outreach
Official World,Twitter/X,India,Hindi,@officialworld_gaming467,Low ($518),https://platform.com/officialworld_gaming467,4.39%,Gaming,Micro,Mock Data - Ready for Outreach
Vikram Priya,Instagram,India,English,@vikrampriya_professional174,Low ($850),https://platform.com/vikrampriya_professional174,5.44%,Professional,Micro,Mock Data - Ready for Outreach
AnjaliTech,Instagram,India,Telugu,@anjalitech_tech977,Low ($666),https://platform.com/anjalitech_tech977,4.67%,Tech,Micro,Mock Data - Ready for Outreach
Priya Priya,YouTube/Instagram,India,Marathi,@priyapriya_professional61,Low ($429),https://platform.com/priyapriya_professional61,5.41%,Professional,Micro,Mock Data - Ready for Outreach
David TV,YouTube,Germany,English,@davidtv_gaming383,Low ($891),https://platform.com/davidtv_gaming383,5.1%,Gaming,Micro,Mock Data - Ready for Outreach
Plays Sarah,Twitter/X,Germany,English,@playssarah_gaming170,Low ($222),https://platform.com/playssarah_gaming170,4.93%,Gaming,Micro,Mock Data - Ready for Outreach
PriyaGaming,Twitch,India,Marathi,@priyagaming_gaming616,Low ($878),https://platform.com/priyagaming_gaming616,4.62%,Gaming,Micro,Mock Data - Ready for Outreach
World Rohan,YouTube/Instagram,India,Tamil,@worldrohan_professional384,Low ($402),https://platform.com/worldrohan_professional384,5.48%,Professional,Micro,Mock Data - Ready for Outreach
David Jessica,Twitch,USA,English,@davidjessica_tech63,Low ($456),https://platform.com/davidjessica_tech63,5.69%,Tech,Micro,Mock Data - Ready for Outreach
Vikram Priya,YouTube,India,Telugu,@vikrampriya_tech877,Low ($841),https://platform.com/vikrampriya_tech877,5.1%,Tech,Micro,Mock Data - Ready for Outreach
Anjali Arjun,YouTube/Instagram,India,Marathi,@anjaliarjun_gaming687,Low ($166),https://platform.com/anjaliarjun_gaming687,5.3%,Gaming,Micro,Mock Data - Ready for Outreach
ZoneTech,YouTube,India,Telugu,@zonetech_tech326,Low ($755),https://platform.com/zonetech_tech326,5.89%,Tech,Micro,Mock Data - Ready for Outreach
GamingGaming,Twitter/X,UK,English,@gaminggaming_gaming237,Medium ($3k),https://platform.com/gaminggaming_gaming237,3.86%,Gaming,Mid,Mock Data - Ready for Outreach
Tech Sneha,Instagram,India,Telugu,@techsneha_tech297,Low ($180),https://platform.com/techsneha_tech297,5.26%,Tech,Micro,Mock Data - Ready for Outreach
AmitTech,YouTube/Instagram,India,Hindi,@amittech_tech994,Low ($485),https://platform.com/amittech_tech994,4.57%,Tech,Micro,Mock Data - Ready for Outreach
AmitProfessional,Instagram,India,Marathi,@amitprofessional_professional676,Low ($662),https://platform.com/amitprofessional_professional676,5.25%,Professional,Micro,Mock Data - Ready for Outreach
David Anna,YouTube/Instagram,Germany,English,@davidanna_gaming410,Low ($146),https://platform.com/davidanna_gaming410,5.03%,Gaming,Micro,Mock Data - Ready for Outreach
World Amit,YouTube/Instagram,India,English,@worldamit_tech695,Medium ($5k),https://platform.com/worldamit_tech695,4.33%,Tech,Mid,Mock Data - Ready for Outreach
TechTech,Twitch,India,Telugu,@techtech_tech155,Low ($265),https://platform.com/techtech_tech155,4.58%,Tech,Micro,Mock Data - Ready for Outreach
GamingTech,YouTube,Australia,English,@gamingtech_tech116,Low ($354),https://platform.com/gamingtech_tech116,4.72%,Tech,Micro,Mock Data - Ready for Outreach
NishaProfessional,Instagram,India,Hindi,@nishaprofessional_professional550,Medium ($5k),https://platform.com/nishaprofessional_professional550,2.53%,Professional,Mid,Mock Data - Ready for Outreach
Karan Karan,YouTube,India,Hindi,@karankaran_tech579,Low ($747),https://platform.com/karankaran_tech579,4.99%,Tech,Micro,Mock Data - Ready for Outreach
PlaysTech,YouTube,Germany,English,@playstech_tech30,Low ($215),https://platform.com/playstech_tech30,5.09%,Tech,Micro,Mock Data - Ready for Outreach
TomTech,Instagram,Canada,English,@tomtech_tech462,Medium ($2k),https://platform.com/tomtech_tech462,4.02%,Tech,Mid,Mock Data - Ready for Outreach
Zone Rahul,YouTube,India,English,@zonerahul_tech314,Low ($682),https://platform.com/zonerahul_tech314,5.5%,Tech,Micro,Mock Data - Ready for Outreach
SnehaProfessional,Instagram,India,Tamil,@snehaprofessional_professional755,Low ($151),https://platform.com/snehaprofessional_professional755,5.0%,Professional,Micro,Mock Data - Ready for Outreach
WorldTech,YouTube,India,Hindi/English,@worldtech_tech251,Low ($551),https://platform.com/worldtech_tech251,5.5%,Tech,Micro,Mock Data - Ready for Outreach
Tech Official,Twitter/X,India,Tamil,@techofficial_tech661,Low ($416),https://platform.com/techofficial_tech661,5.79%,Tech,Micro,Mock Data - Ready for Outreach
Tech Arjun,Twitter/X,India,Marathi,@techarjun_tech492,Low ($208),https://platform.com/techarjun_tech492,5.5%,Tech,Micro,Mock Data - Ready for Outreach
World Zone,YouTube,India,Tamil,@worldzone_gaming957,Low ($238),https://platform.com/worldzone_gaming957,4.88%,Gaming,Micro,Mock Data - Ready for Outreach
TV Gaming,Twitch,USA,English,@tvgaming_tech206,Low ($686),https://platform.com/tvgaming_tech206,5.93%,Tech,Micro,Mock Data - Ready for Outreach
RohanTech,Twitch,India,Hindi/English,@rohantech_tech201,Low ($769),https://platform.com/rohantech_tech201,4.59%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Vikram,Twitch,India,Tamil,@rahulvikram_tech421,Medium ($5k),https://platform.com/rahulvikram_tech421,4.21%,Tech,Mid,Mock Data - Ready for Outreach
ChrisTech,Twitch,USA,English,@christech_tech202,Low ($207),https://platform.com/christech_tech202,4.64%,Tech,Micro,Mock Data - Ready for Outreach
David Tech,Instagram,USA,English,@davidtech_tech241,Low ($184),https://platform.com/davidtech_tech241,5.74%,Tech,Micro,Mock Data - Ready for Outreach
Arjun Official,Twitch,India,Tamil,@arjunofficial_tech809,Low ($151),https://platform.com/arjunofficial_tech809,5.76%,Tech,Micro,Mock Data - Ready for Outreach
TechProfessional,Twitter/X,India,Hindi/English,@techprofessional_professional35,Medium ($3k),https://platform.com/techprofessional_professional35,2.69%,Professional,Mid,Mock Data - Ready for Outreach
Nisha Sneha,YouTube/Instagram,India,Hindi/English,@nishasneha_tech688,Low ($830),https://platform.com/nishasneha_tech688,5.26%,Tech,Micro,Mock Data - Ready for Outreach
RyanProfessional,Instagram,Germany,English,@ryanprofessional_professional139,Low ($236),https://platform.com/ryanprofessional_professional139,4.26%,Professional,Micro,Mock Data - Ready for Outreach
HubTech,Twitch,UK,English,@hubtech_tech988,Low ($569),https://platform.com/hubtech_tech988,4.55%,Tech,Micro,Mock Data - Ready for Outreach
AlexProfessional,Twitter/X,USA,English,@alexprofessional_professional381,Low ($749),https://platform.com/alexprofessional_professional381,4.2%,Professional,Micro,Mock Data - Ready for Outreach
GamerGaming,YouTube/Instagram,India,English,@gamergaming_gaming603,Low ($748),https://platform.com/gamergaming_gaming603,4.53%,Gaming,Micro,Mock Data - Ready for Outreach
RohanProfessional,Instagram,India,English,@rohanprofessional_professional108,Low ($612),https://platform.com/rohanprofessional_professional108,4.65%,Professional,Micro,Mock Data - Ready for Outreach
AmitProfessional,Twitch,India,Hindi/English,@amitprofessional_professional88,Low ($757),https://platform.com/amitprofessional_professional88,5.48%,Professional,Micro,Mock Data - Ready for Outreach
Tom Alex,Twitch,Australia,English,@tomalex_tech466,Low ($783),https://platform.com/tomalex_tech466,4.7%,Tech,Micro,Mock Data - Ready for Outreach
Gaming Anna,Twitter/X,Germany,English,@gaminganna_professional307,Low ($123),https://platform.com/gaminganna_professional307,4.82%,Professional,Micro,Mock Data - Ready for Outreach
ZoneGaming,Twitch,India,Marathi,@zonegaming_gaming628,Low ($135),https://platform.com/zonegaming_gaming628,4.01%,Gaming,Micro,Mock Data - Ready for Outreach
TVTech,Twitch,Germany,English,@tvtech_tech564,Low ($385),https://platform.com/tvtech_tech564,4.72%,Tech,Micro,Mock Data - Ready for Outreach
PriyaProfessional,YouTube/Instagram,India,Marathi,@priyaprofessional_professional339,Medium ($3k),https://platform.com/priyaprofessional_professional339,3.78%,Professional,Mid,Mock Data - Ready for Outreach
Priya Official,Twitter/X,India,Marathi,@priyaofficial_gaming188,Low ($472),https://platform.com/priyaofficial_gaming188,4.26%,Gaming,Micro,Mock Data - Ready for Outreach
KaranGaming,YouTube/Instagram,India,Tamil,@karangaming_gaming129,Low ($886),https://platform.com/karangaming_gaming129,4.32%,Gaming,Micro,Mock Data - Ready for Outreach
